;Fecha;Último;Apertura;Máximo;Mínimo;Vol.
0;28.12.2018;8,440;8,490;8,590;8,440;2,25M
1;27.12.2018;8,410;8,680;8,750;8,330;1,26M
2;24.12.2018;8,580;8,450;8,640;8,450;363,18K
3;21.12.2018;8,550;8,450;8,700;8,450;3,11M
4;20.12.2018;8,410;8,500;8,500;8,340;1,27M
5;19.12.2018;8,570;8,660;8,680;8,530;1,07M
6;18.12.2018;8,600;8,560;8,680;8,510;1,20M
7;17.12.2018;8,590;8,620;8,730;8,510;1,01M
8;14.12.2018;8,620;8,500;8,690;8,430;1,04M
9;13.12.2018;8,580;8,730;8,760;8,430;1,64M
10;12.12.2018;8,780;8,530;8,800;8,460;755,32K
11;11.12.2018;8,530;8,400;8,590;8,320;1,11M
12;10.12.2018;8,330;8,500;8,500;8,290;1,05M
13;07.12.2018;8,550;8,510;8,740;8,460;900,15K
14;06.12.2018;8,480;8,640;8,640;8,410;990,34K
15;05.12.2018;8,700;8,700;8,770;8,540;1,11M
16;04.12.2018;8,760;9,050;9,070;8,720;1,66M
17;03.12.2018;9,050;9,020;9,420;8,970;2,97M
18;30.11.2018;8,800;8,960;8,990;8,750;2,21M
19;29.11.2018;8,940;9,120;9,190;8,930;901,95K
20;28.11.2018;8,990;8,960;9,260;8,890;2,01M
21;27.11.2018;8,980;9,000;9,040;8,880;2,10M
22;26.11.2018;9,030;8,930;9,070;8,870;1,63M
23;23.11.2018;8,900;8,960;9,010;8,840;671,84K
24;22.11.2018;8,960;9,010;9,050;8,900;710,37K
25;21.11.2018;9,060;8,940;9,110;8,840;1,24M
26;20.11.2018;8,890;9,160;9,160;8,850;1,36M
27;19.11.2018;9,200;9,300;9,320;9,170;835,39K
28;16.11.2018;9,200;9,320;9,360;9,150;1,16M
29;15.11.2018;9,290;9,320;9,430;9,230;1,13M
30;14.11.2018;9,250;9,280;9,320;9,150;944,00K
31;13.11.2018;9,330;9,260;9,380;9,220;1,47M
32;12.11.2018;9,280;9,420;9,550;9,260;1,36M
33;09.11.2018;9,360;9,770;9,790;9,180;3,04M
34;08.11.2018;9,940;9,960;10,110;9,910;774,82K
35;07.11.2018;9,920;9,930;10,170;9,900;886,32K
36;06.11.2018;9,910;9,830;9,980;9,780;806,81K
37;05.11.2018;9,810;9,900;9,990;9,810;815,74K
38;02.11.2018;9,880;9,940;10,140;9,830;1,84M
39;01.11.2018;9,820;9,920;9,930;9,700;1,05M
40;31.10.2018;9,870;9,880;9,950;9,690;2,49M
41;30.10.2018;9,810;10,040;10,040;9,780;3,93M
42;29.10.2018;10,010;10,180;10,290;9,670;2,99M
43;26.10.2018;10,180;11,100;11,100;10,010;4,17M
44;25.10.2018;11,100;10,910;11,260;10,810;1,11M
45;24.10.2018;10,930;11,150;11,200;10,910;1,40M
46;23.10.2018;11,110;11,240;11,340;11,020;1,08M
47;22.10.2018;11,330;11,460;11,570;11,330;512,69K
48;19.10.2018;11,380;11,710;11,710;11,320;821,95K
49;18.10.2018;11,710;11,350;11,830;11,350;1,36M
50;17.10.2018;11,390;11,370;11,510;11,320;1,83M
51;16.10.2018;11,330;11,240;11,440;11,210;801,60K
52;15.10.2018;11,260;11,380;11,380;11,170;752,14K
53;12.10.2018;11,380;11,470;11,540;11,270;935,63K
54;11.10.2018;11,340;11,450;11,550;11,120;2,16M
55;10.10.2018;11,630;11,850;11,910;11,610;722,04K
56;09.10.2018;11,870;11,850;11,960;11,770;869,32K
57;08.10.2018;11,780;11,880;11,910;11,740;653,06K
58;05.10.2018;11,950;12,230;12,270;11,910;782,80K
59;04.10.2018;12,280;12,360;12,440;12,160;1,45M
60;03.10.2018;12,410;12,370;12,460;12,320;589,63K
61;02.10.2018;12,340;12,400;12,480;12,290;654,58K
62;01.10.2018;12,440;12,350;12,530;12,320;1,58M
63;28.09.2018;12,320;12,160;12,440;12,090;1,45M
64;27.09.2018;12,190;12,030;12,230;11,900;967,50K
65;26.09.2018;12,070;12,130;12,210;12,020;670,96K
66;25.09.2018;12,090;12,250;12,280;12,070;586,86K
67;24.09.2018;12,250;12,210;12,350;12,190;693,84K
68;21.09.2018;12,240;12,290;12,390;12,190;1,48M
69;20.09.2018;12,270;12,110;12,320;12,060;1,40M
70;19.09.2018;12,120;11,890;12,230;11,890;1,19M
71;18.09.2018;11,890;11,770;11,950;11,760;750,07K
72;17.09.2018;11,760;11,690;11,840;11,650;658,11K
73;14.09.2018;11,720;11,530;11,770;11,520;760,63K
74;13.09.2018;11,490;11,530;11,830;11,480;1,20M
75;12.09.2018;11,500;11,480;11,540;11,400;871,53K
76;11.09.2018;11,460;11,420;11,480;11,290;770,28K
77;10.09.2018;11,420;11,260;11,460;11,150;915,71K
78;07.09.2018;11,260;11,120;11,300;11,100;1,32M
79;06.09.2018;11,160;11,250;11,320;11,150;856,32K
80;05.09.2018;11,280;11,370;11,460;11,260;936,99K
81;04.09.2018;11,390;11,580;11,610;11,310;785,63K
82;03.09.2018;11,580;11,560;11,710;11,560;457,21K
83;31.08.2018;11,580;11,930;11,930;11,560;1,29M
84;30.08.2018;11,940;12,020;12,060;11,870;558,78K
85;29.08.2018;12,060;12,090;12,100;12,000;421,18K
86;28.08.2018;12,060;12,030;12,180;12,030;394,95K
87;27.08.2018;12,070;12,140;12,140;12,010;384,86K
88;24.08.2018;12,100;12,010;12,140;11,990;399,75K
89;23.08.2018;12,000;12,060;12,090;11,970;397,94K
90;22.08.2018;12,050;11,990;12,050;11,960;678,52K
91;21.08.2018;12,050;12,100;12,100;11,980;596,11K
92;20.08.2018;12,070;12,000;12,200;12,000;543,06K
93;17.08.2018;11,990;12,050;12,050;11,840;451,68K
94;16.08.2018;12,010;11,990;12,180;11,970;847,61K
95;15.08.2018;11,950;12,310;12,360;11,850;1,13M
96;14.08.2018;12,340;12,460;12,470;12,210;922,71K
97;13.08.2018;12,430;12,290;12,490;12,210;1,21M
98;10.08.2018;12,360;12,260;12,420;12,140;1,37M
